=== 量子线路训练数据记录 (Loss & Landscape) ===

========== 开始训练 2 比特线路 ==========
参数数量: 1 | 学习率: 0.1 | 训练轮次: 50
Epoch  12 | Loss: -2.004757 | Params: [-1.1866, -0.1750]
Epoch  13 | Loss: -2.017625 | Params: [-1.2924, -0.1657]
Epoch  14 | Loss: -2.031260 | Params: [-1.3993, -0.1569]
Epoch  15 | Loss: -2.045896 | Params: [-1.5074, -0.1487]
Epoch  16 | Loss: -2.062418 | Params: [-1.6169, -0.1418]
Epoch  17 | Loss: -2.065437 | Params: [-1.6873, -0.1365]
Epoch  18 | Loss: -2.054026 | Params: [-1.7313, -0.1328]
Epoch  19 | Loss: -2.047548 | Params: [-1.7546, -0.1310]
Epoch  20 | Loss: -2.044250 | Params: [-1.7606, -0.1309]
Epoch  21 | Loss: -2.043399 | Params: [-1.7522, -0.1325]
Epoch  22 | Loss: -2.044582 | Params: [-1.7313, -0.1355]
Epoch  23 | Loss: -2.047558 | Params: [-1.6994, -0.1398]
Epoch  24 | Loss: -2.052218 | Params: [-1.6576, -0.1451]
Epoch  25 | Loss: -2.058626 | Params: [-1.6067, -0.1511]
Epoch  26 | Loss: -2.067284 | Params: [-1.5464, -0.1577]
Epoch  27 | Loss: -2.069477 | Params: [-1.5106, -0.1644]
Epoch  28 | Loss: -2.062968 | Params: [-1.4931, -0.1710]
Epoch  29 | Loss: -2.060051 | Params: [-1.4906, -0.1777]
Epoch  30 | Loss: -2.059655 | Params: [-1.5013, -0.1842]
Epoch  31 | Loss: -2.061408 | Params: [-1.5238, -0.1909]
Epoch  32 | Loss: -2.065265 | Params: [-1.5574, -0.1978]
Epoch  33 | Loss: -2.071818 | Params: [-1.6035, -0.2052]
Epoch  34 | Loss: -2.067917 | Params: [-1.6303, -0.2133]
Epoch  35 | Loss: -2.063133 | Params: [-1.6419, -0.2224]
Epoch  36 | Loss: -2.061205 | Params: [-1.6404, -0.2324]
Epoch  37 | Loss: -2.061468 | Params: [-1.6271, -0.2435]
Epoch  38 | Loss: -2.063702 | Params: [-1.6031, -0.2554]
Epoch  39 | Loss: -2.068019 | Params: [-1.5684, -0.2681]
Epoch  40 | Loss: -2.074591 | Params: [-1.5591, -0.2813]
Epoch  41 | Loss: -2.072225 | Params: [-1.5660, -0.2952]
Epoch  42 | Loss: -2.073927 | Params: [-1.5894, -0.3097]
Epoch  43 | Loss: -2.070762 | Params: [-1.5969, -0.3251]
Epoch  44 | Loss: -2.069252 | Params: [-1.5912, -0.3414]
Epoch  45 | Loss: -2.070417 | Params: [-1.5731, -0.3588]
Epoch  46 | Loss: -2.074682 | Params: [-1.5386, -0.3770]
Epoch  47 | Loss: -2.068078 | Params: [-1.5193, -0.3960]
Epoch  48 | Loss: -2.064568 | Params: [-1.5126, -0.4156]
Epoch  49 | Loss: -2.063416 | Params: [-1.5169, -0.4360]
Epoch  50 | Loss: -2.064183 | Params: [-1.5314, -0.4572]
--- 3 比特训练完成 ---


========== 开始训练 4 比特线路 ==========
参数数量: 4 | 学习率: 0.1 | 训练轮次: 50
Epoch   1 | Loss: -1.039966 | Params: [-0.1000, 0.1000, -0.1000, 0.1000]
Epoch   2 | Loss: -1.036873 | Params: [-0.1309, 0.1861, -0.1418, 0.2001]
Epoch   3 | Loss: -1.074387 | Params: [-0.1234, 0.2739, -0.1493, 0.3003]
Epoch   4 | Loss: -1.140939 | Params: [-0.0874, 0.3633, -0.1290, 0.4005]
Epoch   5 | Loss: -1.242389 | Params: [-0.0312, 0.4545, -0.0871, 0.5010]
Epoch   6 | Loss: -1.379902 | Params: [0.0386, 0.5476, -0.0303, 0.6021]
Epoch   7 | Loss: -1.554204 | Params: [0.1179, 0.6418, 0.0380, 0.7038]
Epoch   8 | Loss: -1.467140 | Params: [0.1941, 0.7006, 0.0808, 0.7632]
Epoch   9 | Loss: -1.415969 | Params: [0.2722, 0.7411, 0.1040, 0.7922]
Epoch  10 | Loss: -1.416694 | Params: [0.3562, 0.7766, 0.1125, 0.7981]
Epoch  11 | Loss: -1.489111 | Params: [0.4415, 0.8306, 0.1098, 0.7853]
Epoch  12 | Loss: -1.394556 | Params: [0.4836, 0.8268, 0.1003, 0.7597]
Epoch  13 | Loss: -1.376043 | Params: [0.5001, 0.7972, 0.0856, 0.7237]
Epoch  14 | Loss: -1.428170 | Params: [0.4947, 0.7491, 0.0653, 0.6782]
Epoch  15 | Loss: -1.556210 | Params: [0.4657, 0.6853, 0.0386, 0.6228]
Epoch  16 | Loss: -1.741672 | Params: [0.4768, 0.6488, 0.0050, 0.5567]
Epoch  17 | Loss: -1.826646 | Params: [0.5077, 0.6146, -0.0320, 0.4792]
Epoch  18 | Loss: -1.782102 | Params: [0.5518, 0.6123, -0.0752, 0.4192]
Epoch  19 | Loss: -1.860867 | Params: [0.6146, 0.6445, -0.1276, 0.3693]
Epoch  20 | Loss: -1.714345 | Params: [0.6562, 0.6628, -0.1870, 0.3268]
Epoch  21 | Loss: -1.647684 | Params: [0.6830, 0.6711, -0.2529, 0.2893]
Epoch  22 | Loss: -1.628091 | Params: [0.6972, 0.6703, -0.3260, 0.2540]
Epoch  23 | Loss: -1.648258 | Params: [0.6992, 0.6594, -0.4084, 0.2167]
Epoch  24 | Loss: -1.742328 | Params: [0.7101, 0.6574, -0.4019, 0.2160]
Epoch  25 | Loss: -1.754504 | Params: [0.6872, 0.6247, -0.4440, 0.1780]
Epoch  26 | Loss: -1.673558 | Params: [0.6641, 0.5927, -0.4744, 0.1514]
Epoch  27 | Loss: -1.664292 | Params: [0.6381, 0.5594, -0.4955, 0.1345]
Epoch  28 | Loss: -1.708726 | Params: [0.6005, 0.5165, -0.5082, 0.1268]
Epoch  29 | Loss: -1.571617 | Params: [0.5789, 0.4911, -0.5146, 0.1265]
Epoch  30 | Loss: -1.494264 | Params: [0.5682, 0.4777, -0.5157, 0.1325]
Epoch  31 | Loss: -1.465915 | Params: [0.5664, 0.4741, -0.5124, 0.1440]
Epoch  32 | Loss: -1.467068 | Params: [0.5723, 0.4793, -0.5050, 0.1607]
Epoch  33 | Loss: -1.493613 | Params: [0.5860, 0.4929, -0.4934, 0.1822]
Epoch  34 | Loss: -1.549354 | Params: [0.6080, 0.5153, -0.4776, 0.2084]
Epoch  35 | Loss: -1.652118 | Params: [0.6410, 0.5491, -0.4570, 0.2397]
Epoch  36 | Loss: -1.831227 | Params: [0.6483, 0.5587, -0.4302, 0.2770]
Epoch  37 | Loss: -1.842052 | Params: [0.6436, 0.5569, -0.3964, 0.3201]
Epoch  38 | Loss: -1.927912 | Params: [0.6268, 0.5429, -0.3522, 0.3713]
Epoch  39 | Loss: -2.057228 | Params: [0.6335, 0.5512, -0.3469, 0.3892]
Epoch  40 | Loss: -2.012292 | Params: [0.6017, 0.5211, -0.3543, 0.3964]
Epoch  41 | Loss: -1.907218 | Params: [0.5928, 0.5132, -0.3387, 0.4221]
Epoch  42 | Loss: -1.882941 | Params: [0.5831, 0.5037, -0.3464, 0.4264]
Epoch  43 | Loss: -1.854289 | Params: [0.5908, 0.5109, -0.3327, 0.4486]
Epoch  44 | Loss: -1.841138 | Params: [0.6006, 0.5201, -0.3300, 0.4612]
Epoch  45 | Loss: -1.848369 | Params: [0.6151, 0.5342, -0.3343, 0.4686]
Epoch  46 | Loss: -1.895835 | Params: [0.6385, 0.5580, -0.3438, 0.4729]
Epoch  47 | Loss: -1.916761 | Params: [0.6411, 0.5622, -0.3570, 0.4764]
Epoch  48 | Loss: -1.899188 | Params: [0.6283, 0.5522, -0.3734, 0.4793]
Epoch  49 | Loss: -2.025682 | Params: [0.5759, 0.5022, -0.3942, 0.4801]
Epoch  50 | Loss: -1.840300 | Params: [0.5394, 0.4676, -0.3964, 0.4961]
--- 4 比特训练完成 ---


========== 开始训练 5 比特线路 ==========
参数数量: 6 | 学习率: 0.1 | 训练轮次: 50
Epoch   1 | Loss: -1.799939 | Params: [-0.1000, 0.1000, -0.1000, -0.1000, -0.1000, -0.1000]
Epoch   2 | Loss: -1.773324 | Params: [-0.1330, 0.1992, -0.1892, -0.1776, -0.1779, -0.1901]
Epoch   3 | Loss: -1.844815 | Params: [-0.1018, 0.2888, -0.2804, -0.2540, -0.2600, -0.2736]
Epoch   4 | Loss: -1.826296 | Params: [-0.0785, 0.3619, -0.3261, -0.2841, -0.2755, -0.3148]
Epoch   5 | Loss: -1.807473 | Params: [-0.0534, 0.4315, -0.3479, -0.2912, -0.2697, -0.3433]
Epoch   6 | Loss: -1.808933 | Params: [-0.0216, 0.5037, -0.3516, -0.2816, -0.2503, -0.3647]
Epoch   7 | Loss: -1.825346 | Params: [0.0153, 0.5768, -0.3431, -0.2615, -0.2449, -0.4024]
Epoch   8 | Loss: -1.850378 | Params: [0.0640, 0.6553, -0.3209, -0.2303, -0.2477, -0.4525]
Epoch   9 | Loss: -1.895905 | Params: [0.1236, 0.7383, -0.2894, -0.1921, -0.2770, -0.5184]
Epoch  10 | Loss: -1.921348 | Params: [0.1851, 0.8141, -0.2626, -0.1642, -0.2866, -0.5823]
Epoch  11 | Loss: -1.943617 | Params: [0.2583, 0.8972, -0.2479, -0.1503, -0.3037, -0.6454]
Epoch  12 | Loss: -1.932934 | Params: [0.2832, 0.9635, -0.2566, -0.1329, -0.3277, -0.7102]
Epoch  13 | Loss: -1.911655 | Params: [0.2858, 1.0039, -0.2722, -0.1106, -0.3616, -0.7741]
Epoch  14 | Loss: -1.913031 | Params: [0.2652, 1.0267, -0.3020, -0.0827, -0.4084, -0.8353]
Epoch  15 | Loss: -1.910398 | Params: [0.2518, 1.0355, -0.3173, -0.0487, -0.4547, -0.8935]
Epoch  16 | Loss: -1.913525 | Params: [0.2409, 1.0323, -0.3235, -0.0084, -0.5060, -0.9494]
Epoch  17 | Loss: -1.925122 | Params: [0.2308, 1.0182, -0.3222, 0.0384, -0.5640, -1.0044]
Epoch  18 | Loss: -1.944558 | Params: [0.2193, 0.9929, -0.3141, 0.0918, -0.6294, -1.0598]
Epoch  19 | Loss: -1.974783 | Params: [0.2014, 0.9530, -0.2994, 0.1520, -0.7025, -1.1179]
Epoch  20 | Loss: -2.024031 | Params: [0.1752, 0.8994, -0.2711, 0.2233, -0.7720, -1.1654]
Epoch  21 | Loss: -2.039243 | Params: [0.1564, 0.8490, -0.2207, 0.3060, -0.8267, -1.1959]
Epoch  22 | Loss: -1.993101 | Params: [0.1560, 0.8242, -0.1780, 0.3829, -0.8705, -1.2234]
Epoch  23 | Loss: -1.975657 | Params: [0.1721, 0.7974, -0.1381, 0.4397, -0.9015, -1.2502]
Epoch  24 | Loss: -1.954899 | Params: [0.1886, 0.7729, -0.1125, 0.4827, -0.9193, -1.2758]
Epoch  25 | Loss: -1.939542 | Params: [0.2080, 0.7502, -0.0965, 0.5142, -0.9243, -1.2995]
Epoch  26 | Loss: -1.932282 | Params: [0.2310, 0.7282, -0.0882, 0.5359, -0.9175, -1.3207]
Epoch  27 | Loss: -1.930804 | Params: [0.2578, 0.7056, -0.0864, 0.5487, -0.8996, -1.3387]
Epoch  28 | Loss: -1.934436 | Params: [0.2890, 0.6812, -0.0897, 0.5524, -0.8699, -1.3510]
Epoch  29 | Loss: -1.944411 | Params: [0.3325, 0.6671, -0.0905, 0.5505, -0.8117, -1.3217]
Epoch  30 | Loss: -1.949708 | Params: [0.3781, 0.6495, -0.0987, 0.5300, -0.7583, -1.3010]
Epoch  31 | Loss: -1.985761 | Params: [0.4273, 0.5900, -0.1135, 0.4698, -0.7086, -1.2866]
Epoch  32 | Loss: -1.971046 | Params: [0.4880, 0.5404, -0.1269, 0.4133, -0.6409, -1.2780]
Epoch  33 | Loss: -1.980323 | Params: [0.5520, 0.4996, -0.1484, 0.3596, -0.5835, -1.2777]
Epoch  34 | Loss: -2.001946 | Params: [0.6217, 0.4697, -0.1776, 0.3087, -0.5279, -1.2668]
Epoch  35 | Loss: -2.020913 | Params: [0.6931, 0.4478, -0.2153, 0.2593, -0.4927, -1.2739]
Epoch  36 | Loss: -2.061754 | Params: [0.7681, 0.4354, -0.2685, 0.2072, -0.4727, -1.2964]
Epoch  37 | Loss: -2.055497 | Params: [0.8103, 0.4167, -0.3029, 0.1654, -0.4644, -1.3308]
Epoch  38 | Loss: -2.018997 | Params: [0.8325, 0.3953, -0.3260, 0.1311, -0.4669, -1.3742]
Epoch  39 | Loss: -2.004130 | Params: [0.8420, 0.3734, -0.3365, 0.1044, -0.4676, -1.4108]
Epoch  40 | Loss: -1.994435 | Params: [0.8376, 0.3496, -0.3373, 0.0841, -0.4733, -1.4485]
Epoch  41 | Loss: -1.999202 | Params: [0.8135, 0.3197, -0.3295, 0.0697, -0.4874, -1.4920]
Epoch  42 | Loss: -2.008596 | Params: [0.7790, 0.2881, -0.3119, 0.0614, -0.4982, -1.5285]
Epoch  43 | Loss: -2.011438 | Params: [0.7697, 0.2748, -0.2979, 0.0535, -0.5093, -1.5641]
Epoch  44 | Loss: -1.999393 | Params: [0.7728, 0.2723, -0.2841, 0.0475, -0.5210, -1.6004]
Epoch  45 | Loss: -2.000182 | Params: [0.7865, 0.2789, -0.2704, 0.0430, -0.5331, -1.6371]
Epoch  46 | Loss: -2.010021 | Params: [0.8137, 0.2960, -0.2586, 0.0391, -0.5446, -1.6739]
Epoch  47 | Loss: -2.044061 | Params: [0.7766, 0.2698, -0.2179, 0.0503, -0.5542, -1.7097]
Epoch  48 | Loss: -2.007126 | Params: [0.7476, 0.2509, -0.1781, 0.0621, -0.5625, -1.7459]
Epoch  49 | Loss: -2.008601 | Params: [0.7227, 0.2360, -0.1335, 0.0774, -0.5702, -1.7833]
Epoch  50 | Loss: -2.020051 | Params: [0.7101, 0.2305, -0.1243, 0.0777, -0.5779, -1.8224]
--- 5 比特训练完成 ---


========== 开始训练 6 比特线路 ==========
参数数量: 9 | 学习率: 0.1 | 训练轮次: 50
Epoch   1 | Loss: -1.606659 | Params: [0.1000, 0.1000, -0.1000, 0.1000, 0.1000, -0.1000, 0.1000, 0.1000, -0.1000]
Epoch   2 | Loss: -1.650609 | Params: [0.1623, 0.1985, -0.0297, 0.0696, 0.2001, -0.1801, 0.2000, 0.2000, -0.1741]
Epoch   3 | Loss: -1.650479 | Params: [0.2387, 0.2812, 0.0247, 0.0958, 0.2987, -0.2516, 0.2921, 0.2893, -0.1291]
Epoch   4 | Loss: -1.645863 | Params: [0.3007, 0.3610, 0.0662, 0.0518, 0.3504, -0.3055, 0.3596, 0.3505, -0.1153]
Epoch   5 | Loss: -1.638405 | Params: [0.3664, 0.4387, 0.0984, -0.0103, 0.3842, -0.3470, 0.4197, 0.3751, -0.1396]
Epoch   6 | Loss: -1.647606 | Params: [0.4424, 0.5228, 0.1245, -0.0827, 0.4227, -0.3423, 0.4797, 0.3857, -0.1796]
Epoch   7 | Loss: -1.687427 | Params: [0.4094, 0.4920, 0.1316, -0.1276, 0.4806, -0.3012, 0.5467, 0.3971, -0.2350]
Epoch   8 | Loss: -1.679700 | Params: [0.4018, 0.4856, 0.1389, -0.1813, 0.5329, -0.2687, 0.6115, 0.3889, -0.2984]
Epoch   9 | Loss: -1.685974 | Params: [0.4040, 0.4972, 0.1466, -0.2446, 0.5765, -0.2452, 0.6773, 0.3618, -0.3698]
Epoch  10 | Loss: -1.696846 | Params: [0.4270, 0.5279, 0.1566, -0.3121, 0.6091, -0.2344, 0.7347, 0.3246, -0.4461]
Epoch  11 | Loss: -1.715042 | Params: [0.4415, 0.5502, 0.1593, -0.3831, 0.6411, -0.2360, 0.7902, 0.2788, -0.5269]
Epoch  12 | Loss: -1.720664 | Params: [0.4527, 0.5704, 0.1578, -0.4598, 0.6598, -0.2373, 0.8337, 0.2310, -0.6075]
Epoch  13 | Loss: -1.731251 | Params: [0.4736, 0.5939, 0.1528, -0.4981, 0.6817, -0.2365, 0.8626, 0.1743, -0.6893]
Epoch  14 | Loss: -1.740803 | Params: [0.4926, 0.6140, 0.1444, -0.5261, 0.7176, -0.2335, 0.9005, 0.1586, -0.7756]
Epoch  15 | Loss: -1.749107 | Params: [0.5318, 0.6524, 0.1332, -0.4858, 0.7721, -0.2292, 0.9597, 0.2014, -0.8670]
Epoch  16 | Loss: -1.746283 | Params: [0.5432, 0.6719, 0.1195, -0.4615, 0.8215, -0.2154, 1.0230, 0.2515, -0.9626]
Epoch  17 | Loss: -1.743334 | Params: [0.5483, 0.6860, 0.1033, -0.4480, 0.8624, -0.1843, 1.0762, 0.2883, -1.0619]
Epoch  18 | Loss: -1.752281 | Params: [0.5475, 0.6963, 0.0844, -0.4425, 0.8998, -0.1283, 1.1226, 0.3176, -1.1649]
Epoch  19 | Loss: -1.760184 | Params: [0.5443, 0.7104, 0.0655, -0.4455, 0.9327, -0.1079, 1.1636, 0.3424, -1.2674]
Epoch  20 | Loss: -1.770163 | Params: [0.5268, 0.7140, 0.0449, -0.4500, 0.9672, -0.1000, 1.2002, 0.3600, -1.3713]
Epoch  21 | Loss: -1.788560 | Params: [0.5064, 0.7091, 0.0229, -0.4616, 1.0048, -0.0984, 1.2325, 0.3705, -1.4783]
Epoch  22 | Loss: -1.817639 | Params: [0.4826, 0.6893, -0.0007, -0.4797, 1.0464, -0.0991, 1.2618, 0.3738, -1.5872]
Epoch  23 | Loss: -1.841146 | Params: [0.4449, 0.6781, -0.0230, -0.5239, 1.0825, -0.1294, 1.2887, 0.3891, -1.6423]
Epoch  24 | Loss: -1.858888 | Params: [0.3988, 0.6543, -0.0621, -0.5681, 1.1136, -0.1777, 1.3127, 0.4079, -1.7147]
Epoch  25 | Loss: -1.829904 | Params: [0.3589, 0.6366, -0.0984, -0.6121, 1.1408, -0.2389, 1.3310, 0.4262, -1.7660]
Epoch  26 | Loss: -1.849009 | Params: [0.3223, 0.6200, -0.0544, -0.6518, 1.1664, -0.3010, 1.3399, 0.4391, -1.8082]
Epoch  27 | Loss: -1.821666 | Params: [0.2961, 0.6112, -0.0147, -0.6864, 1.1918, -0.3666, 1.3415, 0.4481, -1.8424]
Epoch  28 | Loss: -1.819139 | Params: [0.2764, 0.6073, 0.0211, -0.7151, 1.2166, -0.4102, 1.3351, 0.4522, -1.8684]
Epoch  29 | Loss: -1.816184 | Params: [0.2630, 0.6082, 0.0538, -0.7379, 1.2408, -0.4549, 1.3208, 0.4513, -1.8864]
Epoch  30 | Loss: -1.819514 | Params: [0.2567, 0.6140, 0.0831, -0.7540, 1.2648, -0.4253, 1.2992, 0.4448, -1.9134]
Epoch  31 | Loss: -1.821622 | Params: [0.2576, 0.6236, 0.1103, -0.7698, 1.2797, -0.4148, 1.2798, 0.4430, -1.9181]
Epoch  32 | Loss: -1.823717 | Params: [0.2687, 0.6395, 0.1361, -0.7815, 1.2885, -0.4164, 1.2612, 0.4428, -1.9055]
Epoch  33 | Loss: -1.844533 | Params: [0.2975, 0.6682, 0.1621, -0.7837, 1.2913, -0.4338, 1.2477, 0.4444, -1.8697]
Epoch  34 | Loss: -1.846145 | Params: [0.3139, 0.6891, 0.1843, -0.7885, 1.2874, -0.4363, 1.2336, 0.4515, -1.8255]
Epoch  35 | Loss: -1.835486 | Params: [0.3211, 0.7124, 0.2033, -0.7951, 1.2771, -0.4253, 1.2138, 0.4706, -1.7838]
Epoch  36 | Loss: -1.809876 | Params: [0.3195, 0.7144, 0.2182, -0.8010, 1.2640, -0.4040, 1.1889, 0.4748, -1.7577]
Epoch  37 | Loss: -1.804185 | Params: [0.3124, 0.7028, 0.2298, -0.8073, 1.2465, -0.3756, 1.1595, 0.4694, -1.7430]
Epoch  38 | Loss: -1.811277 | Params: [0.2987, 0.6830, 0.2383, -0.8138, 1.2245, -0.3416, 1.1256, 0.4627, -1.7391]
Epoch  39 | Loss: -1.828088 | Params: [0.2808, 0.6590, 0.2436, -0.8220, 1.1955, -0.2893, 1.0879, 0.4546, -1.7495]
Epoch  40 | Loss: -1.824946 | Params: [0.2618, 0.6310, 0.2467, -0.8300, 1.1622, -0.2534, 1.0522, 0.4484, -1.7581]
Epoch  41 | Loss: -1.830015 | Params: [0.2377, 0.5946, 0.2473, -0.8376, 1.1250, -0.2327, 1.0159, 0.4401, -1.7685]
Epoch  42 | Loss: -1.878912 | Params: [0.2987, 0.6538, 0.2869, -0.8455, 1.0837, -0.2247, 0.9791, 0.4124, -1.7984]
Epoch  43 | Loss: -1.817248 | Params: [0.3520, 0.7068, 0.3203, -0.8707, 1.0405, -0.2416, 0.9462, 0.3867, -1.8271]
Epoch  44 | Loss: -1.806340 | Params: [0.4008, 0.7538, 0.3494, -0.8941, 0.9995, -0.2689, 0.9126, 0.3554, -1.8565]
Epoch  45 | Loss: -1.807962 | Params: [0.4442, 0.7952, 0.3748, -0.9259, 0.9467, -0.3027, 0.8768, 0.3200, -1.8877]
Epoch  46 | Loss: -1.812096 | Params: [0.4831, 0.8317, 0.3969, -0.9869, 0.8668, -0.3416, 0.8449, 0.2867, -1.9214]
Epoch  47 | Loss: -1.812299 | Params: [0.5173, 0.8634, 0.4014, -1.0454, 0.7902, -0.2778, 0.8139, 0.2536, -1.9958]
Epoch  48 | Loss: -1.799227 | Params: [0.5476, 0.8903, 0.4043, -1.0993, 0.7192, -0.2208, 0.7832, 0.2148, -2.0673]
Epoch  49 | Loss: -1.793336 | Params: [0.5746, 0.9139, 0.4064, -1.1491, 0.6548, -0.1726, 0.7512, 0.1799, -2.1364]
Epoch  50 | Loss: -1.785741 | Params: [0.5956, 0.9315, 0.4065, -1.1950, 0.5969, -0.1295, 0.6949, 0.1255, -2.2071]
--- 6 比特训练完成 ---


========== 开始训练 7 比特线路 ==========
参数数量: 12 | 学习率: 0.1 | 训练轮次: 50
Epoch   1 | Loss: -2.389090 | Params: [0.1000, 0.1000, 0.1000, 0.1000, 0.1000, 0.1000, 0.1000, 0.1000, 0.1000, -0.1000, -0.1000, -0.1000]
Epoch   2 | Loss: -2.393863 | Params: [0.2001, 0.1898, 0.1235, 0.1776, 0.1801, 0.1027, 0.1612, 0.1410, 0.0926, -0.1950, -0.1904, -0.2001]
Epoch   3 | Loss: -2.406630 | Params: [0.2984, 0.2842, 0.1412, 0.2534, 0.2667, 0.0561, 0.2134, 0.2059, 0.0721, -0.2814, -0.2784, -0.2983]
Epoch   4 | Loss: -2.410150 | Params: [0.3747, 0.3503, 0.1135, 0.3041, 0.3364, -0.0114, 0.2443, 0.2646, 0.0388, -0.3545, -0.3351, -0.3932]
Epoch   5 | Loss: -2.425901 | Params: [0.4592, 0.4139, 0.0734, 0.3682, 0.4033, -0.0902, 0.1985, 0.3318, -0.0082, -0.4367, -0.3676, -0.4840]
Epoch   6 | Loss: -2.431643 | Params: [0.5445, 0.4779, 0.0301, 0.4157, 0.4739, -0.1747, 0.1724, 0.4098, -0.0332, -0.4750, -0.3661, -0.5592]
Epoch   7 | Loss: -2.451060 | Params: [0.6347, 0.5533, 0.0049, 0.4492, 0.5332, -0.2606, 0.1623, 0.4932, -0.0258, -0.4922, -0.3426, -0.6285]
Epoch   8 | Loss: -2.465404 | Params: [0.6904, 0.6253, -0.0388, 0.4647, 0.5306, -0.3510, 0.1487, 0.5762, -0.0354, -0.5056, -0.3602, -0.6923]
Epoch   9 | Loss: -2.486121 | Params: [0.7375, 0.7048, -0.0973, 0.4677, 0.5096, -0.4433, 0.1368, 0.5946, -0.0496, -0.5222, -0.3948, -0.7579]
Epoch  10 | Loss: -2.495724 | Params: [0.7777, 0.7521, -0.1548, 0.4557, 0.5196, -0.5223, 0.1272, 0.5840, -0.0704, -0.5493, -0.4365, -0.8313]
Epoch  11 | Loss: -2.500546 | Params: [0.8001, 0.7773, -0.1998, 0.4366, 0.5450, -0.6063, 0.1219, 0.5507, -0.0976, -0.5942, -0.4565, -0.9125]
